nome,sobrenome,cpf,data,numero_voo,assento,classe,valor,origem,destino
Carlos,Barbosa,626.711.924-68,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Carlos,Carvalho,562.378.689-45,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Carlos,Barbosa,884.872.245-93,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Carlos,Martins,707.486.673-98,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Clara,Ribeiro,724.414.402-40,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Clara,Oliveira,944.233.736-91,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Clara,Silva,960.626.656-70,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Clara,Pereira,320.204.310-39,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Clara,Rocha,259.965.963-96,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Clara,Melo,464.842.529-41,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Clara,Santos,841.877.988-34,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Clara,Araujo,582.459.581-44,12/12/2024,V001,G17,econômica,3341.23,CGH,RAO
Clara,Rodrigues,674.563.534-99,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Clara,Santos,572.998.187-78,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Clara,Gomes,989.531.207-45,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Clara,Pereira,267.907.102-52,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Clara,Carvalho,171.851.935-63,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Clara,Gomes,784.893.914-53,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Clara,Ribeiro,557.318.569-13,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Clara,Ribeiro,986.452.816-30,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Clara,Fernandes,877.968.846-39,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Clara,Araujo,153.817.362-66,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Clara,Ribeiro,401.685.198-15,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Clara,Melo,318.714.852-39,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Clara,Lima,513.934.142-69,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Clara,Costa,402.324.189-35,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Clara,Martins,602.708.685-71,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Clara,Gomes,467.232.228-92,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Daniel,Carvalho,767.146.560-90,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Daniel,Gomes,100.397.445-26,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Daniel,Barbosa,931.760.183-11,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Daniel,Costa,897.864.871-66,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Daniel,Oliveira,777.234.262-15,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Daniel,Oliveira,752.801.666-48,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Daniel,Fernandes,538.221.575-58,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Daniel,Lima,221.851.631-67,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Daniel,Freitas,927.162.575-26,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Daniel,Rocha,344.462.462-84,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Daniel,Gomes,284.902.763-67,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Daniel,Fernandes,826.808.971-31,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Daniel,Melo,526.810.529-46,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Daniel,Martins,662.969.672-71,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Daniel,Pereira,918.607.752-35,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Daniel,Barbosa,931.286.571-82,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Daniel,Gomes,948.181.720-95,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Daniel,Gomes,177.304.623-29,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Daniel,Barbosa,823.806.324-18,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Daniel,Araujo,116.222.194-59,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Daniel,Pereira,996.239.122-70,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Felipe,Rocha,706.365.401-85,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Felipe,Costa,944.355.564-77,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Felipe,Oliveira,650.932.790-96,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Felipe,Ribeiro,280.194.381-43,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Felipe,Oliveira,653.301.387-27,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Felipe,Silva,446.762.165-92,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Felipe,Costa,104.656.798-79,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Felipe,Dias,908.970.492-79,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Felipe,Melo,372.540.575-32,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Felipe,Araujo,720.788.961-20,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Felipe,Gomes,639.110.103-74,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Felipe,Oliveira,700.752.387-29,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Felipe,Barbosa,930.640.244-74,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Felipe,Carvalho,600.320.218-13,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Felipe,Souza,881.937.419-99,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Felipe,Costa,804.275.605-10,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Felipe,Gomes,942.577.320-57,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Felipe,Santos,549.561.372-91,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Felipe,Silva,806.655.849-61,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Fernanda,Araujo,109.496.995-10,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Fernanda,Freitas,370.701.892-22,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Fernanda,Melo,180.858.565-23,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Fernanda,Freitas,372.311.706-82,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Fernanda,Santos,325.527.347-64,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Fernanda,Barbosa,395.595.171-82,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Fernanda,Freitas,240.918.183-55,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Fernanda,Pereira,959.643.939-56,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Fernanda,Souza,949.499.898-88,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Fernanda,Freitas,362.676.269-12,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Fernanda,Freitas,353.366.449-15,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Fernanda,Pereira,647.806.690-74,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Fernanda,Martins,486.168.222-58,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Fernanda,Ribeiro,919.728.807-24,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Fernanda,Martins,809.668.210-86,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Fernanda,Rocha,997.188.474-89,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Fernanda,Oliveira,860.576.301-95,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Gabriel,Carvalho,978.364.294-13,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Gabriel,Ribeiro,265.544.557-80,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Gabriel,Barbosa,644.915.694-94,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Gabriel,Costa,200.618.347-55,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Gabriel,Ribeiro,885.837.802-29,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Gabriel,Lima,302.773.897-19,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Gabriel,Martins,543.324.615-11,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Gabriel,Santos,128.796.269-53,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Gabriel,Almeida,454.984.859-16,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Gabriel,Silva,602.143.211-20,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Gabriel,Oliveira,148.312.679-10,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Gabriel,Freitas,533.627.483-38,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Gabriel,Barbosa,181.139.637-37,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Gabriel,Almeida,520.677.541-57,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Gabriel,Pereira,219.405.353-27,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Gabriel,Souza,673.500.870-47,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
João,Araujo,345.478.191-25,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
João,Freitas,891.371.768-18,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
João,Lima,651.878.169-43,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
João,Ribeiro,705.831.682-45,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
João,Souza,270.387.638-82,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
João,Almeida,594.796.658-32,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
João,Gomes,882.209.379-91,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
João,Oliveira,865.331.974-91,12/12/2024,V001,G17,econômica,3341.23,CGH,RAO
João,Souza,258.732.714-99,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
João,Fernandes,174.711.798-96,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
João,Costa,338.133.269-70,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
João,Rocha,520.913.263-21,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
João,Lima,855.441.862-52,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
João,Souza,435.584.314-72,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Julia,Fernandes,894.377.905-32,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Julia,Almeida,420.903.989-11,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Julia,Souza,219.866.966-20,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Julia,Silva,697.863.180-91,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Julia,Freitas,262.480.598-23,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Julia,Santos,515.748.444-24,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Julia,Dias,322.209.965-41,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Julia,Freitas,757.843.140-16,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Julia,Carvalho,783.485.626-63,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Julia,Fernandes,720.572.639-52,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Julia,Ribeiro,690.650.280-10,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Julia,Barbosa,372.956.968-49,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Julia,Pereira,597.419.727-73,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Julia,Lima,302.460.966-69,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Julia,Lima,377.389.584-27,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Julia,Souza,302.385.525-56,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Julia,Gomes,743.870.784-80,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Julia,Araujo,807.807.568-13,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Julia,Fernandes,687.493.844-53,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Laura,Freitas,362.370.200-70,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Laura,Ribeiro,132.826.734-36,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Laura,Rodrigues,783.209.462-62,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Laura,Freitas,877.680.499-88,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Laura,Pereira,386.732.232-36,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Laura,Freitas,571.586.857-62,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Laura,Rocha,774.255.629-98,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Laura,Fernandes,304.637.277-22,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Laura,Souza,684.423.615-33,12/12/2024,V001,G17,econômica,3341.23,CGH,RAO
Laura,Pereira,976.454.395-58,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Laura,Freitas,733.302.920-16,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Laura,Melo,395.369.677-36,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Laura,Araujo,460.274.260-35,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Laura,Fernandes,906.434.622-37,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Laura,Freitas,460.737.567-79,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Laura,Gomes,920.471.901-93,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Lucas,Freitas,223.457.222-87,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Lucas,Rocha,366.659.244-64,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Lucas,Costa,516.756.717-86,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Lucas,Santos,433.615.289-14,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Lucas,Araujo,927.108.274-52,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Lucas,Santos,739.995.716-65,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Lucas,Dias,570.561.172-63,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Lucas,Almeida,505.850.672-20,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Lucas,Souza,323.252.252-24,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Lucas,Fernandes,714.652.839-23,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Lucas,Almeida,693.644.522-23,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Lucas,Rocha,400.247.726-53,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Lucas,Pereira,780.937.543-36,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Lucas,Barbosa,172.356.236-56,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Lucas,Rodrigues,660.235.205-36,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Lucas,Souza,687.570.739-54,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Lucas,Araujo,762.468.637-27,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Luiz,Souza,400.422.403-72,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Luiz,Santos,204.671.400-44,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Luiz,Martins,304.347.331-74,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Luiz,Costa,562.919.950-88,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Luiz,Costa,155.890.389-12,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Luiz,Fernandes,720.154.148-91,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Luiz,Martins,112.901.520-41,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Luiz,Martins,207.659.398-57,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Luiz,Rodrigues,475.925.204-44,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Luiz,Almeida,409.836.432-16,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Luiz,Carvalho,294.200.115-17,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Luiz,Silva,225.705.460-36,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Luiz,Carvalho,446.436.774-41,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Luiz,Santos,893.173.428-49,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Luiz,Oliveira,439.497.383-59,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Luiz,Martins,975.186.838-92,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Luiz,Souza,542.114.687-89,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Luiz,Oliveira,476.697.670-73,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Luiz,Rocha,968.421.877-76,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Luiz,Costa,607.939.639-51,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Luiz,Melo,121.671.392-73,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Luiz,Araujo,979.425.296-46,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Mariana,Pereira,873.786.270-65,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Mariana,Araujo,779.386.227-22,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Mariana,Fernandes,531.646.576-82,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Mariana,Melo,197.381.531-42,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Mariana,Silva,488.101.334-81,12/12/2024,V001,G17,econômica,3341.23,CGH,RAO
Mariana,Ribeiro,649.833.320-22,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Mariana,Lima,429.104.660-33,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Mariana,Souza,914.138.209-14,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Mariana,Gomes,886.373.530-89,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Mariana,Melo,290.539.126-46,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Mariana,Dias,373.823.994-94,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Mariana,Lima,761.965.910-64,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Mariana,Martins,423.929.312-55,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Mariana,Souza,613.273.842-34,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Mariana,Oliveira,550.843.109-63,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Mateus,Martins,215.487.477-61,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Mateus,Costa,656.465.363-72,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Mateus,Costa,153.823.594-56,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Mateus,Araujo,523.496.449-12,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Mateus,Martins,146.116.254-59,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Mateus,Ribeiro,850.759.850-48,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
